Designator,Mid X,Mid Y,Rotation,Layer
C1,122.1625,-127.35,0.0,top
C10,121.6625,-124.6,180.0,top
C11,103.0,-113.5,90.0,top
C12,105.25,-96.0,270.0,top
C13,103.25,-96.0,270.0,top
C14,93.2125,-109.92,0.0,top
C15,90.25,-80.9825,180.0,top
C16,162.0,-103.5,180.0,top
C17,162.0,-105.5,0.0,top
C18,115.75,-85.0,90.0,top
C19,91.5,-139.75,90.0,top
C2,99.25,-96.0,90.0,top
C20,123.5,-145.5,270.0,top
C21,88.5,-139.5,270.0,top
C22,117.75,-138.5,0.0,top
C23,91.5,-84.5,90.0,top
C24,97.0,-146.25,270.0,top
C25,89.56,-75.0625,90.0,top
C26,92.0,-74.4825,90.0,top
C27,145.5,-134.5,0.0,top
C28,145.5,-122.75,0.0,top
C29,112.5,-98.75,270.0,top
C3,89.0525,-103.5,0.0,top
C30,112.5,-103.5,270.0,top
C31,112.5,-109.0,90.0,top
C4,89.1425,-107.75,0.0,top
C5,93.2125,-103.5,0.0,top
C6,93.2125,-107.75,0.0,top
C7,98.91,-113.5,270.0,top
C8,107.25,-110.425,180.0,top
C9,107.25,-113.75,270.0,top
D1,77.0,-86.25,270.0,top
D2,90.0,-115.5,180.0,top
D3,90.0,-117.5,180.0,top
D4,80.5,-86.25,270.0,top
D5,90.0,-122.5,180.0,top
D6,90.0,-124.75,180.0,top
D8,85.5,-136.75,270.0,top
D9,111.25,-134.75,0.0,top
GND,146.0,-145.5,0.0,top
H1,78.48,-119.15,270.0,top
J1,77.25,-79.0,270.0,top
L1,107.25,-143.5,270.0,top
MOTOR U,146.5,-77.5,270.0,top
MOTOR V,146.5,-94.0,270.0,top
MOTOR W,146.5,-110.5,270.0,top
PWR IN,135.25,-145.75,0.0,top
Q1,132.75,-86.25,180.0,top
Q2,130.5,-79.5,0.0,top
Q3,132.75,-102.44,180.0,top
Q4,130.5,-96.0,0.0,top
Q5,132.75,-118.94,180.0,top
Q6,130.5,-112.5,0.0,top
R1,150.0,-102.25,0.0,top
R10,81.75,-81.75,270.0,top
R11,101.0,-113.53,90.0,top
R12,81.75,-76.25,90.0,top
R13,86.0,-122.5,0.0,top
R14,86.0,-124.75,0.0,top
R15,164.0,-98.25,90.0,top
R16,105.0,-113.53,90.0,top
R17,90.25,-78.7325,0.0,top
R18,85.5,-140.75,90.0,top
R19,118.25,-134.75,90.0,top
R2,86.0,-115.5,0.0,top
R20,116.0,-134.75,270.0,top
R21,116.5,-147.5,270.0,top
R22,119.0,-147.5,270.0,top
R23,120.5,-82.5,0.0,top
R24,121.25,-98.25,0.0,top
R25,120.25,-111.75,0.0,top
R26,120.5,-87.5,0.0,top
R27,121.25,-103.25,0.0,top
R28,121.5,-117.25,0.0,top
R29,136.75,-78.25,90.0,top
R3,86.0,-117.5,0.0,top
R30,136.75,-94.75,90.0,top
R31,136.75,-111.25,90.0,top
R4,88.9625,-101.42,0.0,top
R5,89.0525,-105.75,0.0,top
R6,93.2125,-101.5,0.0,top
R7,93.2125,-105.75,0.0,top
R8,97.25,-96.0,270.0,top
R9,101.25,-96.0,90.0,top
SW1,102.25,-130.0,0.0,top
SW2,102.25,-121.75,0.0,top
TP1,95.25,-112.75,0.0,top
TP10,158.0,-110.25,90.0,top
TP11,168.0,-110.25,0.0,top
TP12,168.0,-115.25,0.0,top
TP13,168.0,-120.25,0.0,top
TP19,121.25,-85.0,0.0,top
TP2,168.0,-100.25,0.0,top
TP20,120.75,-100.5,0.0,top
TP21,120.75,-114.25,0.0,top
TP22,121.25,-90.0,0.0,top
TP23,124.25,-104.0,0.0,top
TP24,122.25,-119.5,0.0,top
TP25,140.0,-85.5,0.0,top
TP26,141.5,-101.75,0.0,top
TP27,139.5,-117.0,0.0,top
TP3,168.0,-95.25,0.0,top
TP4,168.0,-90.25,0.0,top
TP5,168.0,-85.25,90.0,top
TP6,163.0,-110.25,90.0,top
TP7,168.0,-80.25,90.0,top
TP8,168.0,-75.25,90.0,top
TP9,168.0,-105.25,90.0,top
U1,103.0,-81.75,0.0,top
U2,160.0,-98.0,90.0,top
U3,104.5,-104.5,90.0,top
U4,88.5,-146.5,0.0,top
U5,117.75,-142.5,0.0,top
