Comment,Designator,Footprint,LCSC,Quantity
SW_MEC_5E,"SW1,SW2",SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5,C10852,2
SM06B-GHS-TB(LF)(SN),CN3,CONN-TH_SM06B-GHS-TB-LF-SN,C133065,1
470nF 16V,"C13,C14,C29",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C13967,3
100uF,"C6,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C141660,2
10uF,"C1,C3,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,3
USB_C_Receptacle_USB2.0_14P,J1,USB-C_SMD-TYPE-C-31-M-12,C165948,1
0.01uF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,1
10K,"R10,R17,R19,R20,R21,R22,R24,R25,R27,R5,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,11
150,"R1,R2,R3,R4,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17471,5
1K,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,1
2.2,"R12,R13,R15,R16,R23,R26",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17521,6
47,R28,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17714,1
4.7uF,"C20,C4,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779,3
LED,"D1,D2",LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C2286,2
LED,D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296,1
LED,"D4,D6",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,2
3.3K,"R11,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26010,2
0.1uF,"C15,C17,C18,C2,C22,C23,C25,C26,C27",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,9
2.2uF,C21,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C377773,1
DB910-7.62-3P,CN1,CONN-TH_3P-P7.62_DB910-7.62-3P,C395877,1
SRV05-4-HXY,"U10,U11,U13,U14",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C4748793,4
SM03B-GHS-TB(LF)(SN),CN4,CONN-TH_SM03B-GHS-TB-LF-SN,C514175,1
TestPoint,"TP14,TP15,TP16,TP19,TP2,TP22,TP25,TP3,TP4,TP5,TP6,TP7",SMD_RH-5015,C5199798,12
22nF 100V,C28,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C61998,1
USBLC6-2SC6,D9,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519,1
TPS5430DDAR,U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,C9864,1
XT60PW-M,CN2,CONN-TH_XT60PW-M,C98732,1
